family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Orchidaceae,Epidendrum,,epidendrum madsenii || epidendrum rhopalostele,fruit set,Epidendrum madsenii,Epidendrum rhopalostele,0.90133333,0.6105,0.6773298841617229,0.3226701158382771,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,,epidendrum madsenii || epidendrum rhopalostele,fruit set,Epidendrum rhopalostele,Epidendrum madsenii,0.7765,0.907,1.168061815840309,-0.1680618158403091,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Orchidaceae,Epidendrum,Epidendrum,epidendrum secundum || epidendrum xanthinum,seed set,Epidendrum secundum,Epidendrum xanthinum,0.65,0.57,0.8769230769230768,0.1230769230769232,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,0.015626,True,False,False
Orchidaceae,Epidendrum,Epidendrum,epidendrum secundum || epidendrum xanthinum,seed set,Epidendrum xanthinum,Epidendrum secundum,0.82,0.59,0.7195121951219512,0.2804878048780488,,,,5.0,5.0,perennial,perennial,mixed-mating,mixed-mating,0.015626,True,False,False
Ericaceae,Erica,,erica abietina || erica coccinea,seed set,Erica coccinea,Erica abietina,,,,,303.0,116.9,0.41362811734046456,1.0,1.0,woody,woody,outcrossing,outcrossing,,False,False,False
Ericaceae,Erica,,erica abietina || erica coccinea,seed set,Erica abietina,Erica coccinea,,,,,116.9,303.0,-0.41362811734046456,1.0,1.0,woody,woody,outcrossing,outcrossing,,False,False,False
Ericaceae,Erica,,erica curviflora || erica plukenetii,seed set,Erica curviflora,Erica plukenetii,,,,,86.0,211.0,-0.38978400405412494,1.0,1.0,woody,woody,mixed-mating,outcrossing,,False,False,False
Ericaceae,Erica,,erica curviflora || erica plukenetii,seed set,Erica plukenetii,Erica curviflora,,,,,211.0,86.0,0.38978400405412494,1.0,1.0,woody,woody,outcrossing,mixed-mating,,False,False,False
Ericaceae,Erica,Erica,erica coccinea || erica plukenetii,seed set,Erica plukenetii,Erica coccinea,,,,,211.0,303.0,-0.15716017320461217,1.0,1.0,woody,woody,outcrossing,outcrossing,0.035774,True,False,False
Ericaceae,Erica,Erica,erica coccinea || erica plukenetii,seed set,Erica coccinea,Erica plukenetii,,,,,303.0,211.0,0.15716017320461217,1.0,1.0,woody,woody,outcrossing,outcrossing,0.035774,True,False,False
