i,j,O_i,O_j,K_i,K_j,F_i,F_j,G,D,dlogO,GxdlogO,A_sobelchen,A_oneminus_hc
83,2,46.10783168243363,509.3583454725148,1.4726944510703697,0.4430862641319059,0.8481566528932305,0.36272666310401147,0.13693828559340243,0.6846914279670122,2.402168967230394,0.32894890007820426,0.15892514482780185,0.2205900544275473
90,98,19.116403997054835,7.942746297887959,2.2871618583637603,3.5482536206213497,1.0669818093766488,1.279052423787354,0.14301201465786936,0.7150600732893468,-0.8782877176650317,-0.12560569595253815,-0.06389042868901168,-0.0656088666259631
11,88,222.12123672915587,3.7220802116033695,0.6709728672574028,5.183309431518146,0.5024183326477355,1.4431535995861136,0.06584110759170768,0.3292055379585384,-4.088940635539881,-0.2692203803206869,-0.1506660979183418,-0.22572904455271314
35,15,7.794624451253165,2839.1502326771993,3.581808825739115,0.18767473580055763,1.283386420983284,0.1715746246270746,0.09493863853179536,0.4746931926589768,5.897825749345336,0.559931546940612,0.2548231744920307,0.3780054471359523
44,105,8424.95037102489,2.771167723261819,0.10894726302774776,6.00715162502174,0.10331909662960058,1.5004465773446447,0.08459387604486837,0.42296938022434183,-8.019684072411854,-0.6784161603406136,-0.285236054209403,-0.42711557641829756
77,33,5160.7161600383815,7670.20954357515,0.13920185197098706,0.11418166869577849,0.13014372799156962,0.10801500210359521,0.15783357632389097,0.7891678816194548,0.39626857433039575,0.06254448627133598,0.008712335852399826,0.015897144024806797
104,25,2177.4220279679075,464.9553095124899,0.21430321869865473,0.463761182008895,0.19356266737904185,0.37646601902442073,0.1361506175594508,0.680753087797254,-1.543955607640716,-0.21021050946466058,-0.06165439966718396,-0.1026190675999673
40,30,2.7122439253325923,147.68038729061078,6.072054031321146,0.8228839443404541,1.5044631782097568,0.5830094049670291,0.05443580371521957,0.27217901857609783,3.997274084247054,0.2175948274460067,0.12275256490722489,0.18927362409551718
59,6,9.81088985725043,3.8257122386633187,3.192609487827997,5.112623946701628,1.229674403712352,1.437619642206033,0.19437317810195645,0.9718658905097822,-0.9417483225325134,-0.18305061442283097,-0.06817368569035709,-0.05538520197131047
89,5,82.63810421094828,10324.620266037431,1.1000434190467496,0.09841537604331724,0.7096954915457335,0.09379970921570838,0.09489140794285406,0.4744570397142703,4.827815754829082,0.45811823426442433,0.14453882119263595,0.24236309225115737
23,44,172.00013324926263,8424.95037102489,0.7624925563096768,0.10894726302774776,0.5520322974757735,0.10331909662960058,0.17525448598449345,0.8762724299224672,3.891457613005506,0.6819954036977237,0.19201992401357001,0.2969625374288902
46,89,45.53157135369584,82.63810421094828,1.4819845657903166,1.1000434190467496,0.8512298304538556,0.7096954915457335,0.07844979057683542,0.3922489528841771,0.5960649229743429,0.04676116837753473,0.02711638146673684,0.04088145612245475
